,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
0,2020-05-04T00:00:00.000,KY,5245,5245.0,0.0,115.0,0.0,261,261.0,0.0,8.0,0.0,2020-05-05T17:25:08.000,Agree,Agree
1,2020-03-23T00:00:00.000,NH,101,,,23.0,,1,,,1.0,,2020-03-26T16:22:39.452,Not agree,Not agree
2,2021-03-16T00:00:00.000,MN,498926,,,708.0,152.0,6817,6380.0,437.0,2.0,0.0,2021-03-17T14:24:24.658,,Agree
3,2020-05-29T00:00:00.000,NJ,159196,,,1673.0,14.0,11531,11531.0,0.0,130.0,0.0,2021-02-19T13:38:31.100,Not agree,Agree
4,2020-02-14T00:00:00.000,DC,0,,,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,,
5,2020-04-01T00:00:00.000,SC,1348,1348.0,0.0,217.0,0.0,32,,,2.0,0.0,2021-03-24T13:33:43.058,Agree,Not agree
6,2020-06-25T00:00:00.000,NE,18346,,,125.0,0.0,260,,,3.0,0.0,2020-06-26T19:18:27.809,Not agree,Not agree
7,2020-02-24T00:00:00.000,CA,10,,,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
8,2020-11-14T00:00:00.000,VA,201961,183455.0,18506.0,1161.0,191.0,3800,3527.0,273.0,1.0,0.0,2020-11-15T15:12:13.050,Agree,Agree
9,2020-11-17T00:00:00.000,DE,29755,28473.0,1282.0,203.0,11.0,742,652.0,90.0,3.0,0.0,2020-11-18T14:57:46.366,Agree,Agree
10,2020-04-23T00:00:00.000,FSM,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2020-05-25T15:38:40.000,Agree,Agree
11,2020-01-23T00:00:00.000,WY,0,,,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree
12,2020-11-14T00:00:00.000,NJ,295012,,,4856.0,503.0,16548,14747.0,1801.0,26.0,0.0,2021-02-19T13:38:31.100,Not agree,Agree
13,2020-11-15T00:00:00.000,WA,130040,,,2309.0,0.0,2519,,,0.0,0.0,2020-11-16T18:40:02.302,,
14,2021-02-18T00:00:00.000,AL,484365,379795.0,104570.0,1198.0,188.0,9424,7391.0,2033.0,78.0,11.0,2021-02-19T15:33:51.934,Agree,Agree
15,2020-05-02T00:00:00.000,SC,6553,6553.0,0.0,199.0,0.0,283,,,9.0,0.0,2021-03-24T13:33:43.058,Agree,Not agree
16,2020-06-21T00:00:00.000,OR,6937,6700.0,237.0,187.0,237.0,190,188.0,2.0,1.0,2.0,2020-06-22T15:24:02.542,Agree,Agree
17,2020-11-08T00:00:00.000,DE,26603,25395.0,1208.0,345.0,7.0,718,631.0,87.0,2.0,0.0,2020-11-09T14:38:54.660,Agree,Agree
18,2020-06-29T00:00:00.000,LA,57081,,,845.0,0.0,3199,3091.0,108.0,0.0,-5.0,2020-06-30T15:27:33.712,Not agree,Agree
19,2020-04-03T00:00:00.000,NJ,29895,,,4305.0,,646,,,109.0,,2020-04-03T16:22:39.452,Agree,Agree
20,2020-07-29T00:00:00.000,NV,46021,,,870.0,0.0,806,,,21.0,0.0,2020-07-30T14:42:43.801,,
